id,pred_capped,pred_uncapped,goal_ss_num,goal_ss_char,SCORE,score_rank_z,studsig,NoPretest,anyimpute,capped_z_y17,c1,c2,c3,credit_t,credit_b,credit,asmt
0001,-0.954165253,-0.954110027,69,69,67,-0.841621234,0.583623943,0,0,-0.738846849,-3.288661024,0.213082632,0.504894604,,0.901519084,0.901519084,RG
0002,-0.385320466,-0.424398665,63,63,67,0.385320466,0.825724415,0,0,0.050153583,-3.688218128,1.266128364,1.678990572,,1.000000000,1.000000000,RG
0003,-0.025068908,0.093744695,15,15,14,-0.201893479,0.820904174,0,0,0.025068908,-3.308685603,1.616739439,2.027191526,,0.838787771,0.838787771,PT
0004,0.050153583,0.038155386,79,79,79,0.201893479,0.622255925,0,0,0.201893479,-2.438870115,1.294665433,1.605793395,,1.000000000,1.000000000,RG
0005,-0.279319034,-0.282785858,72,72,55,-0.358458793,0.838338796,0,0,0.706302563,-3.632674219,1.397358558,1.816527956,,0.520373712,0.520373712,RG
0006,-0.253347103,-0.25687936,8,8,6.5,-0.467698799,0.743713733,0,0,-0.150969215,-3.228202035,1.234080363,1.605937229,,0.765547972,0.765547972,PT
0007,-0.439913166,-0.383579666,12,12,10,-0.706302563,0.911847070,0,0,-0.439913166,-4.087301445,1.383780974,1.839704509,,0.828010499,0.828010499,PT
0008,0.050153583,0.057265909,79,79,86,0.643345405,0.613101138,0,0,0.125661347,-2.40225097,1.27635586,1.582906429,,1.000000000,1.000000000,RG
0009,0.439913166,0.458220367,86,86,92,0.877896295,0.535019849,0,0,0.439913166,-1.700166229,1.509952863,1.777462788,,1.000000000,1.000000000,RG
0010,-0.582841507,-0.575605527,56,56,60,0.253347103,0.821272201,0,0,-0.050153583,-3.867930312,1.059702895,1.470338996,,1.000000000,1.000000000,RG
0011,0.125661347,0.150254712,71,71,59,0.125661347,0.901827192,0,0,0.954165253,-3.481647421,1.929315731,2.380229327,,0.611627680,0.611627680,RG
0012,0.358458793,0.354215946,74,74,72,-0.050153583,0.677207993,0,0,0.100433721,-2.350373177,1.712874778,2.051478775,,0.853413961,0.853413961,RG
0013,0.524400513,0.60273932,17,Q,18,0.806421247,0.559613342,0,0,0.439913166,-1.714052856,1.643627197,1.923433868,,1.000000000,1.000000000,FP
0014,0.841621234,0.808962863,85,85,75,0.305480788,0.553143598,0,0,0.738846849,-1.37095316,1.94790843,2.224480229,,0.581279648,0.581279648,RG
